,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CF,2010-11-04 00:00:00+00:00,121.19,122.47,119.87,121.19,2459400,19.1960789941,19.3988265897,18.9869955361,19.1960789941,12297000,0.0,1.0
1,CF,2010-11-05 00:00:00+00:00,122.47,129.03,119.8,120.23,6538200,19.3988265897,20.4379080172,18.975907777,19.0440182974,32691000,0.0,1.0
2,CF,2010-11-08 00:00:00+00:00,124.77,125.15,121.2,122.1,1633800,19.7631386755,19.823329368,19.1976629597,19.3402198628,8169000,0.0,1.0
3,CF,2010-11-09 00:00:00+00:00,125.18,130.0,124.2,126.89,2313100,19.8280812648,20.5915526795,19.6728526369,20.0989393808,11565500,0.0,1.0
4,CF,2010-11-10 00:00:00+00:00,124.06,126.35,122.74,125.6,1819100,19.6665167745,20.029537276,19.4572647824,19.9106440987,9095500,0.1,1.0
5,CF,2010-11-11 00:00:00+00:00,127.75,127.94,122.01,123.62,1579300,20.251471207,20.281590812,19.3415420898,19.5967661105,7896500,0.0,1.0
6,CF,2010-11-12 00:00:00+00:00,119.65,126.27,118.5,126.08,3228700,18.9674248917,20.0168553371,18.7851220198,19.9867357321,16143500,0.0,1.0
7,CF,2010-11-15 00:00:00+00:00,117.18,121.5,116.75,120.2,2704300,18.5758700277,19.2606947292,18.507704606,19.0546132218,13521500,0.0,1.0
8,CF,2010-11-16 00:00:00+00:00,114.52,116.5,112.23,116.5,3574000,18.1541955587,18.4680735469,17.7911750573,18.4680735469,17870000,0.0,1.0
9,CF,2010-11-17 00:00:00+00:00,116.66,118.2,113.82,114.88,3264500,18.4934374248,18.7375647489,18.0432285932,18.2112642839,16322500,0.0,1.0
10,CF,2010-11-18 00:00:00+00:00,120.25,122.31,118.04,118.51,2980900,19.0625394336,19.3890993607,18.7122008711,18.7867072622,14904500,0.0,1.0
11,CF,2010-11-19 00:00:00+00:00,117.71,120.95,117.5,120.47,2160400,18.659887873,19.1735063991,18.6265977834,19.0974147656,10802000,0.0,1.0
12,CF,2010-11-22 00:00:00+00:00,118.0,120.45,116.73,118.56,2605300,18.7058599016,19.0942442809,18.5045341213,18.794633474,13026500,0.0,1.0
13,CF,2010-11-23 00:00:00+00:00,121.47,122.27,114.2,116.13,2812800,19.2559390021,19.3827583913,18.1034678031,18.4094195794,14064000,0.0,1.0
14,CF,2010-11-24 00:00:00+00:00,124.61,125.25,121.82,122.25,2370500,19.7537051046,19.8551606159,19.3114224849,19.3795879065,11852500,0.0,1.0
15,CF,2010-11-26 00:00:00+00:00,122.81,125.43,122.37,124.97,852800,19.4683614789,19.8836949785,19.3986108149,19.8107738297,4264000,0.0,1.0
16,CF,2010-11-29 00:00:00+00:00,122.06,122.94,117.83,122.23,1999400,19.3494683016,19.4889696297,18.6789107814,19.3764174218,9997000,0.0,1.0
17,CF,2010-11-30 00:00:00+00:00,120.77,122.7,120.2,120.86,1878700,19.1449720366,19.4509238129,19.0546132218,19.1592392179,9393500,0.0,1.0
18,CF,2010-12-01 00:00:00+00:00,124.04,124.74,121.5,123.43,1892100,19.6633462898,19.7743132553,19.2606947292,19.5666465055,9460500,0.0,1.0
19,CF,2010-12-02 00:00:00+00:00,123.75,126.44,122.79,124.65,1819800,19.6173742612,20.0438044573,19.4651909942,19.760046074,9099000,0.0,1.0
20,CF,2010-12-03 00:00:00+00:00,126.83,127.7999,123.17,123.2,1530000,20.1056289095,20.2593815664,19.5254302041,19.5301859312,7650000,0.0,1.0
21,CF,2010-12-06 00:00:00+00:00,125.25,128.28,124.62,126.45,1215800,19.8551606159,20.3354890523,19.7552903469,20.0453896996,6079000,0.0,1.0
22,CF,2010-12-07 00:00:00+00:00,122.62,126.69,122.25,126.22,1510400,19.438241874,20.0834355164,19.3795879065,20.0089291253,7552000,0.0,1.0
23,CF,2010-12-08 00:00:00+00:00,121.33,123.35,119.55,123.35,1580100,19.233745609,19.5539645666,18.9515724681,19.5539645666,7900500,0.0,1.0
